order_id,customer_uuid,item_category,total_value_usd,fulfillment_status,shipping_region,order_date
ORD-54173,830ab60d-1102-4eef-b771-06e0ff09465b,Electronics,747.91,Delivered,London,2025-10-16T03:56:09.724031Z
ORD-61932,7ff11fef-94f7-4de1-9fb5-239911684ee3,Apparel,384.73,Shipped,New York,2025-11-28T07:56:09.724053Z
ORD-56331,0b8c18b0-6e75-40a8-a3ba-2a75f8613e78,Apparel,1313.98,Backordered,Toronto,2026-02-24T22:56:09.724075Z
ORD-69808,a6f78534-bdb7-4ce7-8842-706b68e41e6b,Books,430.92,Backordered,Dubai,2026-01-12T14:56:09.724097Z
ORD-70419,45234df0-841b-4a24-937b-6051d9504cdb,Electronics,1173.65,Shipped,Tokyo,2025-10-22T21:56:09.724118Z
ORD-83614,0ee12ecb-7128-4d39-b39b-0635b225810c,Apparel,16.23,Delivered,Dubai,2025-11-10T19:56:09.724151Z
ORD-83778,30bf5da8-ed27-4587-8ea3-40ac8e274207,Books,407.47,Delivered,London,2026-01-29T16:56:09.724174Z
ORD-84988,e682f463-cdf9-402f-9343-bdfb5485c963,Home Goods,1303.63,Delivered,Dubai,2026-01-25T21:56:09.724196Z
ORD-32473,e08d4380-8c82-4677-86ca-844179ee22ec,Books,537.21,Delivered,Sydney,2026-02-18T20:56:09.724219Z
ORD-95864,a9f7cf8b-4c6e-4fa4-9769-a92c8a8f2039,Apparel,1170.44,Processing,Singapore,2025-09-17T23:56:09.724242Z
ORD-49115,9a92a831-56d6-4bad-99d1-5957a241877c,Books,189.14,Shipped,Tokyo,2025-11-18T15:56:09.724265Z
ORD-78184,70f1fef5-4d2a-4a9a-a754-47f8147a006c,Apparel,793.65,Returned,New York,2025-12-25T04:56:09.724288Z
ORD-83055,562ee461-ff4c-4dcf-a87a-978388112eae,Apparel,21.39,Processing,New York,2025-12-06T23:56:09.724312Z
ORD-37478,92cc2576-5222-4335-a20b-7774b63dfed9,Books,1238.99,Backordered,New York,2026-02-02T20:56:09.724335Z
ORD-70820,cb14ee31-b342-44a9-a76e-cd62879a9add,Home Goods,258.65,Delivered,Berlin,2026-02-03T05:56:09.724358Z
ORD-59837,bf29a01b-60fa-4313-b21f-761d7a92cc76,Books,118.4,Returned,Tokyo,2026-01-14T19:56:09.724380Z
ORD-96034,5f10f75f-d31a-4282-907d-54fcaee70138,Books,733.1,Delivered,London,2025-09-22T09:56:09.724403Z
ORD-27717,4b8f1567-4c28-4601-a2a3-277a1e165f9d,Electronics,616.24,Backordered,Tokyo,2025-10-18T05:56:09.724425Z
ORD-44848,c8e82dea-123f-4e14-b906-33b261f0194b,Books,1487.62,Delivered,Berlin,2026-02-06T17:56:09.724447Z
ORD-38701,35ac9a1b-a9a1-4efd-9d33-17e2bb39c359,Home Goods,190.1,Backordered,New York,2025-10-19T09:56:09.724470Z
ORD-17703,32d39370-1909-4d51-9426-8e596156b226,Electronics,77.24,Processing,Toronto,2025-10-09T04:56:09.724493Z
ORD-67751,9b561ceb-0d91-489b-8d44-c0e85cfc11cb,Books,296.97,Returned,Berlin,2026-02-04T13:56:09.724515Z
ORD-90448,db48102e-69ae-417b-94ea-321189071b34,Electronics,175.92,Shipped,New York,2026-01-30T22:56:09.724537Z
ORD-98301,3dd3687d-2c6d-4554-845d-0aed930519b7,Electronics,1341.75,Processing,Dubai,2026-03-07T10:56:09.724559Z
ORD-82913,48fe1b75-9db9-44e8-8488-def193d0e8a8,Books,1219.94,Backordered,Tokyo,2025-12-08T16:56:09.724616Z
ORD-26557,39c24bf8-933b-4cce-aa85-92c079ee8ecb,Electronics,1073.82,Processing,New York,2026-01-24T02:56:09.724644Z
ORD-30306,3f25a22c-15c3-4125-8fa8-627b24540a1a,Apparel,107.34,Backordered,Tokyo,2025-12-10T06:56:09.724668Z
ORD-89287,329e5b01-a5ce-42f7-8d10-5fcf3669b362,Books,244.79,Delivered,Dubai,2026-01-11T04:56:09.724691Z
ORD-46744,aa58ccc2-c93e-4d59-90a9-529c62515ce3,Home Goods,900.92,Shipped,Tokyo,2026-01-27T01:56:09.724713Z
ORD-87549,619ff419-daa3-4afd-8baf-99d7d00e6122,Electronics,244.08,Shipped,London,2025-11-17T03:56:09.724735Z
ORD-99345,073d3172-f009-4d38-b88b-628928cbe8aa,Electronics,948.49,Returned,London,2025-09-27T15:56:09.724758Z
ORD-29359,5fb61f6a-1296-4414-ad6f-980a87d0a713,Electronics,718.25,Processing,Tokyo,2026-02-24T09:56:09.724780Z
ORD-66965,cdce9a10-7aee-449b-9bbe-3863ac805d72,Home Goods,1227.42,Returned,Tokyo,2026-02-17T01:56:09.724801Z
ORD-62795,ee182dee-0261-4043-8938-24fedde341f6,Home Goods,752.99,Shipped,Singapore,2025-12-14T00:56:09.724824Z
ORD-31174,ab8480e4-e78e-46d4-82d2-29c1ec3a3aa1,Apparel,1166.06,Returned,Tokyo,2025-10-09T23:56:09.724845Z
ORD-47597,fe94aaaa-b8b0-45c3-9cd0-cf2e9737c644,Apparel,1268.99,Shipped,Berlin,2026-02-09T09:56:09.724873Z
ORD-87518,6588dfb7-7abb-44e7-a1e6-23e9d7ad8aad,Home Goods,503.95,Shipped,London,2026-01-18T01:56:09.724899Z
ORD-61579,807c0ffb-f6d4-4509-8e0b-b7a8c515b869,Apparel,1005.68,Delivered,Toronto,2025-09-24T21:56:09.724922Z
ORD-48144,f67b05d8-b7e0-440c-8dcc-08aaa632be3d,Electronics,347.36,Backordered,Tokyo,2026-02-25T17:56:09.724944Z
ORD-87237,a00aef56-090f-47ee-834d-176d074ab525,Apparel,293.64,Delivered,Berlin,2025-11-25T03:56:09.724966Z
ORD-37272,98a16658-5940-4981-bfc6-eda5d1f413c5,Apparel,126.63,Delivered,New York,2026-02-07T23:56:09.724989Z
ORD-22237,6533ae31-8ce7-456c-a93e-6be340ef600b,Apparel,482.94,Returned,Dubai,2026-01-31T20:56:09.725010Z
ORD-80354,fa6c13a4-51d5-4232-ac41-5c9de94a1d7e,Books,540.47,Delivered,Singapore,2025-09-18T18:56:09.725032Z
ORD-52009,1d5294c5-c54b-4ad1-bcbe-dcc5363e534f,Apparel,444.63,Returned,New York,2025-10-09T12:56:09.725055Z
ORD-50261,c3991ac3-1b17-4fab-90e9-d8b34cf63761,Home Goods,848.55,Shipped,Toronto,2025-09-13T03:56:09.725077Z
ORD-77451,6ff80de3-eac6-4fd0-b126-cf14f0e7f549,Books,808.26,Backordered,Dubai,2025-11-10T10:56:09.725101Z
ORD-39441,742da0fc-3802-4758-8c1d-0cda7b206fc2,Electronics,1263.27,Backordered,London,2026-02-10T05:56:09.725123Z
ORD-31105,2e54052e-3178-4270-89c0-585a80eb76a2,Books,1274.29,Shipped,London,2025-12-06T17:56:09.725145Z
ORD-63122,932bfd8a-2cec-4854-9159-71dcc91acee1,Books,409.53,Shipped,Tokyo,2025-09-13T13:56:09.725166Z
ORD-20081,24135856-ad2c-4473-b997-72263585a560,Home Goods,1026.68,Processing,Toronto,2025-10-05T21:56:09.725189Z
ORD-71556,2240a8a3-dad5-4783-92a9-fcd8c25d3036,Home Goods,99.43,Returned,Berlin,2025-12-01T18:56:09.725210Z
ORD-21532,fd3c862a-7197-4e1d-a2e3-e33a57b9c8ca,Home Goods,1344.94,Returned,Tokyo,2026-01-28T21:56:09.725232Z
ORD-14789,7e24d220-717d-4e07-8676-c394f306af6d,Books,1260.05,Backordered,Dubai,2025-12-13T14:56:09.725255Z
ORD-45589,9b12e96a-6305-4d1e-8413-a9db459282bf,Apparel,170.4,Backordered,Tokyo,2025-12-15T10:56:09.725277Z
ORD-72068,3e6e20d5-da44-47ef-aa77-f383824f2acb,Apparel,169.39,Shipped,Dubai,2025-12-19T04:56:09.725299Z
ORD-28891,3ef6c498-e903-4228-a649-ec67f93c9ce6,Home Goods,418.96,Returned,Singapore,2025-09-16T07:56:09.725321Z
ORD-35756,897d9d8e-b4d3-431f-960b-a23a564ab583,Books,852.24,Shipped,Dubai,2025-10-19T11:56:09.725343Z
ORD-12122,0c80a4da-32f9-4a7b-a5a3-b5aa0e09f4b8,Home Goods,789.66,Delivered,Berlin,2025-12-02T23:56:09.725365Z
ORD-65445,4adfe8a8-a789-4121-994a-3fb20da62292,Home Goods,128.19,Returned,Singapore,2026-01-30T13:56:09.725387Z
